,A,B,C,CD,D,E,F,FG,G,GH,H
7.0,17672,17185,18458,24556,18045,17913,17150,16998,17834,18836,16342
16.0,18267,17625,23040,26125,22936,18709,18115,18110,17119,19786,17288
25.0,19194,19035,22822,27717,18454,18851,18425,19647,17595,22276,18324
