,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
4.0/F低層A,4.0,低層,A,4914040,11428,430,335,3,KWTH
10.0/F中層A,10.0,中層,A,4945430,11501,430,349,3,KWTH
18.0/F高層A,18.0,高層,A,5212030,12121,430,375,3,KWTH
4.0/F低層B,4.0,低層,B,5192160,10817,480,387,4,KWTH
10.0/F中層B,10.0,中層,B,5327040,11098,480,380,4,KWTH
18.0/F高層B,18.0,高層,B,5465760,11387,480,361,4,KWTH
4.0/F低層C,4.0,低層,C,6083490,10311,590,300,4,KWTH
10.0/F中層C,10.0,中層,C,6218010,10539,590,360,5,KWTH
18.0/F高層C,18.0,高層,C,6433360,10904,590,346,5,KWTH
4.0/F低層D,4.0,低層,D,6083490,10311,590,300,4,KWTH
10.0/F中層D,10.0,中層,D,6218010,10539,590,360,5,KWTH
18.0/F高層D,18.0,高層,D,6433360,10904,590,346,5,KWTH
4.0/F低層E,4.0,低層,E,5218560,10872,480,344,4,KWTH
10.0/F中層E,10.0,中層,E,5421120,11294,480,346,4,KWTH
18.0/F高層E,18.0,高層,E,5661120,11794,480,337,4,KWTH
4.0/F低層F,4.0,低層,F,4753220,11054,430,398,4,KWTH
10.0/F中層F,10.0,中層,F,4908020,11414,430,397,4,KWTH
18.0/F高層F,18.0,高層,F,5076580,11806,430,387,4,KWTH
4.0/F低層G,4.0,低層,G,4792350,11145,430,401,4,KWTH
10.0/F中層G,10.0,中層,G,4948010,11507,430,396,4,KWTH
18.0/F高層G,18.0,高層,G,5034440,11708,430,369,3,KWTH
4.0/F低層H,4.0,低層,H,6046320,10248,590,330,4,KWTH
10.0/F中層H,10.0,中層,H,6266980,10622,590,329,4,KWTH
18.0/F高層H,18.0,高層,H,6520090,11051,590,309,4,KWTH
4.0/F低層J,4.0,低層,J,6083490,10311,590,300,4,KWTH
10.0/F中層J,10.0,中層,J,6218010,10539,590,360,5,KWTH
18.0/F高層J,18.0,高層,J,6433360,10904,590,346,5,KWTH
4.0/F低層K,4.0,低層,K,4778160,11112,430,353,4,KWTH
10.0/F中層K,10.0,中層,K,4939410,11487,430,352,4,KWTH
18.0/F高層K,18.0,高層,K,5107540,11878,430,346,4,KWTH
