,A,B,BC,C,D,E,F,G,H
8.0,10595,10100,,8662,9881,9602,9475,10159,10275
19.0,11040,10902,,9005,10276,10044,9136,8828,10542
30.0,11487,11362,,9310,10973,11367,9521,9149,11034
