,1,10,11,12,13,14,15,16,17,18,2,3,4,5,6,7,8,9
3.0,11019,11413,11498,12743,11271,11104,12605,10837,11020,10934,11654,11168,12389,12565,11413,11413,11413,11479
7.0,11320,11727,11771,13101,11449,11215,12929,11132,11321,11232,11956,11330,11735,12905,11727,11727,11727,11841
11.0,11966,12099,12178,12031,11740,11711,12099,11430,11624,11533,12268,11633,12100,13308,12099,12099,12099,12089
