,1,10,3,4,5,6,7,8,9,B1,B2,B3,B5,B9
4.0,10069,9925,9957,9957,12424,12328,12328,12424,12357,11420,10210,9845,12474,12281
7.0,10289,10145,10179,9703,12722,12623,12623,12722,12650,11705,10433,10069,12772,12573
10.0,10507,10365,10401,10892,13023,12922,12922,13023,10816,11982,10655,10284,13074,12870
