,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q
4.0,11418,11093,11288,12138,11418,10980,12077,12568,11885,11355,10992,12082,12234,11418,11277
10.0,11594,11476,11601,12535,11594,11603,12487,12972,12254,11702,11365,12548,12638,11594,11629
17.0,12260,11912,12197,12978,11968,11780,13008,13430,12559,12097,11894,11761,13093,12260,11811
