,A,AB,B,C,D,E,F,G,GH,H
6.0,195,1104,909,848,750,750,843,945,1139,194
14.0,195,1104,909,848,750,750,843,945,1139,194
21.0,195,1104,909,848,750,750,843,945,1139,194
