,A,B,C,D,E,F,G,H,J,K,L
8.0,414,300,377,304,304,301,304,385,300,302,309
17.0,414,300,377,304,304,301,304,385,300,302,309
24.0,414,300,377,304,304,301,304,385,300,302,309
