,A,B,C,D,E,G,H
5.0,3760308,3723720,3911040,3576654,3902360,3684648,3694500
8.0,3842584,3013824,3988040,3725004,3979080,3608000,3736000
11.0,3908244,3073224,4065040,4065040,4055800,3660000,3698250
