,A,B,C,D,F,G,H,J,JB
2.0,2685480,2864865,2864865,2864865,2685480,2956365,2891705,2864865,
4.0,2713356,2894145,2894145,2894145,2713356,2867915,2935015,2894145,
7.0,2749512,2933185,2933185,2933185,2749512,2905735,2960635,2933185,
