,A,B,C,D,E,F,G,H,J,K,L,M
6.0,12859,12914,12872,12675,13123,11071,13129,12206,12754,13275,13146,12998
8.0,12638,12785,12645,12450,12896,10859,12901,11990,12535,13060,12919,12774
10.0,9753,9703,9691,10784,11454,9689,9640,9705,9497,9684,9523,9791
