,A,B,C,D,E,F,G,H,J,K,L
4.0,863,521,518,868,513,525,579,271,519,520,884
10.0,863,521,518,868,513,525,579,271,519,520,884
17.0,861,522,518,868,513,525,579,271,519,521,882
