,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
1.0/F低層A,1.0,低層,A,2318023,14221,163,214,2,KHH
2.0/F中層A,2.0,中層,A,2327640,14280,163,174,2,KHH
2.0/F高層A,2.0,高層,A,2327640,14280,163,174,2,KHH
1.0/F低層B,1.0,低層,B,2595690,13590,191,216,2,KHH
2.0/F中層B,2.0,中層,B,2618228,13708,191,176,2,KHH
2.0/F高層B,2.0,高層,B,2618228,13708,191,176,2,KHH
1.0/F低層C,1.0,低層,C,1464003,10383,141,196,2,KHH
2.0/F中層C,2.0,中層,C,1477821,10481,141,157,2,KHH
2.0/F高層C,2.0,高層,C,1477821,10481,141,157,2,KHH
1.0/F低層D,1.0,低層,D,2056131,9933,207,205,2,KHH
2.0/F中層D,2.0,中層,D,2059029,9947,207,165,2,KHH
2.0/F高層D,2.0,高層,D,2059029,9947,207,165,2,KHH
1.0/F低層whole floor,1.0,低層,whole floor,,,,,,KHH
2.0/F中層whole floor,2.0,中層,whole floor,,,,,,KHH
2.0/F高層whole floor,2.0,高層,whole floor,,,,,,KHH
