,D1,D10,D2,D9,E11,E12,E3,E4,E5,F14,F15,F6,F7,F8
3.0,315,223,299,210,223,250,299,299,299,291,367,299,249,264
5.0,315,223,299,210,223,223,299,299,299,291,367,299,249,264
7.0,315,223,299,210,223,223,280,299,299,291,367,280,249,264
