,A1,A2,A3,A4,A5,A6,B1,B1B2,B2,B3,B4,B5,B6
2.0,9986,10160,10347,10347,10374,10374,9986,,9986,10192,10347,10374,10374
5.0,10249,10428,10627,10627,10654,10654,10249,,10249,10466,10627,10654,10654
8.0,10524,10707,10916,10916,10944,10944,10762,,10524,10748,10916,10944,10944
