,A,B,C,D,E,F,G,H,J,K
6.0,11185,10884,11747,11205,11407,11362,11339,11890,12129,11231
16.0,11046,11135,12081,11406,11779,11677,11587,12239,12771,11441
25.0,11349,11688,12592,11799,11978,11832,11991,12769,13230,11836
