,A,B,C,D,E,F,G,H,H1,H2
2.0,8059,8462,8798,8827,8351,9357,8653,8664,9750,9406
4.0,7823,8311,8644,8761,8141,9543,8734,8586,9875,9533
6.0,7981,8581,8792,8014,8204,8409,8911,8743,9984,9659
