,1,2,3,4,5,6,7,8,9
4.0,3529200,4501215,3771195,3820665,4465240,3216570,3817605,4354200,7341960
8.0,3615135,4615410,3862995,3914505,4573120,3441480,3910935,4460400,7530660
11.0,3685005,4700970,3592950,3981570,4652170,3510330,3977490,4536000,7672440
