,1,10,11,12,13,14,15,16,17,18,19,2,20,20-26,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,5,6,7,8,9
4.0,4827662,3577455,3714165,3906480,4172400,4172400,4176360,4172400,3884634,4234944,4192624,4230585,4028694,,3626424,3566016,3554072,3614668,3470600,4607925,4416534,4342650,4216500,4039200,3973080,3999522,4210125,4342650,4446009,4342650,4414962,4144655,4145522,3969810,4021920,4049136,4313621,4207125,3489878,3499496,4097880,3953160,4083840,4172400,3651960
10.0,4976685,3673215,3777480,3890408,4163760,4163760,4299840,4163760,3895450,4226112,4379568,4295160,4147185,,3832218,3768658,3669216,3779648,3669216,4612248,4554084,3938670,3378672,4159800,3941760,3930240,2939502,3345600,4351281,3938670,3938670,4049072,3417333,4141445,4142160,4177602,3744960,4217400,3484452,3772890,4224600,4071960,4207680,4163760,3859128
15.0,5054399,3762990,3893715,3992416,4289040,4289040,4372920,4289040,4056676,4353440,4387296,4111770,4249815,,3891855,3740121,3729896,3901412,3729896,4673163,4847640,2908385,2917937,4221000,3239648,3172832,3157910,3444795,5959296,3999339,7149825,4026828,3485418,4102571,4264200,4236219,4026828,4281840,3573412,3891855,4289400,4188600,4278240,4289040,3919344
