,A1,A2,A3,A4,B1,B1 & B2,B2,B3,B4
5.0,5420468,5415200,5389600,5457232,5299672,7953168,5344000,5449200,5466524
10.0,5505308,5642800,5614000,5472584,5505308,8293260,5553200,5650000,5538840
14.0,5532376,5692400,5647600,5502480,5531568,8569032,5620000,5710400,5698420
