,A,AB,B,C,D,E,E & F,F,G,H,I,J,K
7.0,403,785,382,382,382,369,788,406,420,387,375,420,570
12.0,403,785,382,382,382,369,788,406,420,387,375,420,570
18.0,403,785,382,382,382,369,788,406,420,387,375,420,570
