,A,B,C,D,E1,E2,F,G,H,K,L
5.0,630,680,680,870,560,545,755,615,900,720,805
8.0,630,680,680,870,560,545,755,615,900,720,805
11.0,630,680,680,870,560,545,755,615,900,720,805
