,1,2,3,4,5,6,7,8,D2,D3,D4,D6
6.0,430,400,400,430,430,420,420,420,400,400,430,420
13.0,430,400,400,430,430,420,420,420,400,400,430,420
20.0,430,400,400,430,430,420,420,420,400,400,430,420
