,A,B,C,D,E,F,G,H,J,M
2.0,5401110,5214475,5417100,4475260,4908420,4917374,4475260,4370760,4922258,5415750
3.0,4928040,5236055,5437350,4493500,4926735,4918595,4493500,4267780,4940573,5436450
4.0,4935840,4429260,5458950,4514400,4848591,4919816,4514400,4296660,4960109,5349600
