,subjFloor,floorLv,unitNo,price,npsf,nfa
2.0/F低層A,2.0,低層,A,10545084,10308,1023
6.0/F中層A,6.0,中層,A,10692396,10452,1023
9.0/F高層A,9.0,高層,A,10803903,10561,1023
2.0/F低層B,2.0,低層,B,9538870,10202,935
6.0/F中層B,6.0,中層,B,9671640,10344,935
9.0/F高層B,9.0,高層,B,9775425,10455,935
2.0/F低層C,2.0,低層,C,9939985,10631,935
6.0/F中層C,6.0,中層,C,10057795,10757,935
9.0/F高層C,9.0,高層,C,10144750,10850,935
2.0/F低層D,2.0,低層,D,10997250,10750,1023
6.0/F中層D,6.0,中層,D,10700580,10460,1023
9.0/F高層D,9.0,高層,D,10811064,10568,1023
2.0/F低層E,2.0,低層,E,10051860,10257,980
6.0/F中層E,6.0,中層,E,16499835,11111,1485
9.0/F高層E,9.0,高層,E,16672095,11227,1485
2.0/F低層F,2.0,低層,F,16103680,10940,1472
6.0/F中層F,6.0,中層,F,16328896,11093,1472
9.0/F高層F,9.0,高層,F,16499648,11209,1472
2.0/F低層G,2.0,低層,G,8734770,10098,865
6.0/F中層G,6.0,中層,G,8856735,10239,865
9.0/F高層G,9.0,高層,G,8948425,10345,865
