,1,12,2,3,4,5,6,7,8,A1,A2,A3,A6,A8,C1,C4,C7,E2,E5,G2,G5,G6,G7,G8,I1,I3,I4,I5,I6,I8
4.0,5505834,9486576,4647570,4850700,4512320,4283200,4808520,5118210,5872552,5361570,4875490,5336510,4837380,5876350,5809674,4725440,5078990,4560990,4455040,4874380,4758720,4875860,5208860,5426498,5868332,4952080,4554240,4344280,5184070,5505834
8.0,5691092,9804960,4973910,5012760,4660160,4650135,4971320,5120060,5691092,5541560,5038660,5664700,5001290,6058232,6006326,4783040,5244380,4713800,4621120,5028670,5011520,5038660,5379430,5608802,6067516,5118950,4597440,4485315,5359450,5691092
12.0,5872974,10088496,5137820,5174080,4410560,4574400,5025710,4455540,5872974,5718680,5165940,5710580,5168160,6261214,6037660,4927040,5445290,4993150,4740480,5187030,5060160,5199980,5577380,5788152,6267122,5288780,4740480,4629030,5627700,5718680
