,A,B,C,D,E,F,G,H
8.0,12889,13040,13225,13150,13184,13102,13250,12959
18.0,13147,13650,13800,13405,13396,13327,13405,13205
27.0,13719,13650,14385,13756,13791,13268,13960,13883
