,C1,C2,C3,D1,D2,D3
3.0,11339200,11584560,11584560,15188380,11608240,14639120
6.0,11758720,12012740,12012740,15633680,12020920,15168080
10.0,12317320,12583910,16347470,16316230,12999800,15911360
