,subjFloor,floorLv,unitNo,price,npsf,nfa
14.0/F低層A,14.0,低層,A,7173543,14149,507
28.0/F中層A,28.0,中層,A,7609056,15008,507
44.0/F高層A,44.0,高層,A,7924410,15630,507
14.0/F低層B,14.0,低層,B,7539768,14444,522
28.0/F中層B,28.0,中層,B,7562736,14488,522
44.0/F高層B,44.0,高層,B,8027316,15378,522
14.0/F低層C,14.0,低層,C,11553786,11261,1026
28.0/F中層C,28.0,中層,C,12526434,12209,1026
44.0/F高層C,44.0,高層,C,13687866,13341,1026
14.0/F低層D,14.0,低層,D,10996282,12191,902
28.0/F中層D,28.0,中層,D,11869418,13159,902
44.0/F高層D,44.0,高層,D,12862520,14260,902
14.0/F低層E,14.0,低層,E,12586084,13418,938
28.0/F中層E,28.0,中層,E,13369314,14253,938
44.0/F高層E,44.0,高層,E,13711684,14618,938
14.0/F低層F,14.0,低層,F,9284967,13437,691
28.0/F中層F,28.0,中層,F,10293136,14896,691
44.0/F高層F,44.0,高層,F,10936457,15827,691
