,1,10,11,12,2,3,4,5,6,6 & 7,7,8,9
4.0,11944,12005,12059,11563,12196,12343,12274,12059,11978,,11563,12077,12059
8.0,12241,12359,12358,11846,12476,12658,12574,12358,12273,,11846,12378,12358
11.0,12268,12526,12368,11927,12687,12694,12796,12368,12491,,12054,12410,12368
