,1,10,11,12,15,16,17,18,19,2,20,21,22,23,25,26,27,28,29,3,30,31,32,33,5,6,7,8,9
9.0,3710928,2660080,2758080,2762812,2752084,2703000,,,3177319,2623995,2407540,2528070,2431792,2461550,2528071,2528071,2498540,2528064,2422422,2654832,1795353,1796736,1812647,1827900,2547337,2624401,2618752,,3395951
14.0,3963306,2768976,2901699,2839000,2882300,2813330,,,3459934,2761345,2557480,2658630,2670248,2562350,2659392,2616936,2654668,2616556,2618558,2709936,2031105,1873536,1960068,1947824,2636095,2760966,2725680,,3580937
18.0,3951006,2896240,2977452,2907971,2936584,2942530,,,3730518,2876575,2729350,2765560,2811288,2657025,2760966,2712528,2751592,2712581,2760958,2820308,2132907,1940224,2025012,2012412,2733957,2890926,2850812,,3767596
