,A,B,C,D,E,F,H,J,K,L
3.0,4112064,3437640,5423204,6741504,6123166,5581912,5221768,4112850,3692100,3414908
6.0,4205344,3523500,5557816,6905360,6275706,5715516,5351108,4204900,3783900,3502156
9.0,4302848,3610440,5695194,7069216,6431402,5851224,5482678,4302200,3878400,3590202
