,A,B,C,D,E,F,G,H,J,K,L
2.0,670,550,670,635,626,585,610,646,696,642,700
4.0,670,550,670,670,626,585,610,646,696,642,700
7.0,670,550,670,670,626,585,610,646,696,642,700
