,A,B,C,D,E,F,G,H,J,K,L,M
5.0,13604,13680,13995,11648,13752,13496,13804,13402,13894,13885,13440,13505
12.0,13979,14088,14197,12002,14057,14028,14185,13910,14334,14306,13838,14038
20.0,14290,14580,14692,12395,14477,14504,14616,14375,14807,14709,14275,14515
