,A,B,D,E,H,J,K,L,M,N
2.0,3922626,4537511,3441107,4206774,3815350,3038784,3323571,3318300,4420604,3295270
3.0,3937788,4551492,3342366,4247529,3844750,2941504,3128612,3199500,4434556,3235936
5.0,3955838,4578552,3729154,4268121,3622500,2958832,3146155,3256800,4460716,3184896
