,A1,A2,A3,A5,A6,B1,B2,B3
2.0,6095354,5883696,7165888,5666100,8067924,6005010,5904875,5406357
6.0,6175331,6008069,7405584,5752375,8076000,6165900,6196588,5534990
9.0,6187403,6184077,7327768,5946600,8120418,6436995,6437653,5557197
