,14,7,C16,C3,C5,C7,C8,C9
6.0,16578,16527,16527,16527,16578,16527,16527,16527
10.0,16984,16932,16932,16932,16984,16932,16932,16932
14.0,17390,17337,17337,17337,17390,17337,17337,17337
