,A,AB,B,C,D,E,F,G,GH,H
16.0,19376,19534,21452,17861,17593,18125,18539,20046,19534,19829
34.0,21403,21515,22810,19541,19679,19227,20858,22106,21515,20865
53.0,23168,23262,24730,20810,20965,20599,22355,23293,23262,22739
