,A,C,D,F,I,J,K,L
5.0,12388,12326,12393,12492,12329,12388,12561,12690
8.0,12629,12531,12633,12734,12569,12629,12317,12927
11.0,12875,12811,12878,12983,12814,12875,12560,13174
