,A,B,C,D,E,F,G,I,J,K,L
4.0,10877755,10932565,7315660,6149220,7931250,8000330,6421950,8585150,8585150,14627364,10389418
8.0,11111205,11169060,7563105,6279900,8100000,8184400,6627640,8764700,8764700,14936268,10614128
13.0,11403525,11464425,7760335,6439620,8312625,8400070,6798490,8988805,8988805,10894527,10894527
