,A,AB,B,C,D,E,F,G,GH,H
6.0,17627,10248,10379,10310,10202,9988,10380,10455,10224,17812
14.0,18577,10628,10614,10594,10558,10333,10764,10901,10700,18674
21.0,18665,10874,11174,10879,10852,10464,11106,11742,10849,19229
