,A,B,C,D,E,F,G,H,J,K
6.0,9480,8263,8351,9577,9601,8630,8156,8243,8630,9649
18.0,9991,9895,9775,9984,10111,10118,8646,8729,10118,10181
30.0,10487,9695,9728,9952,10622,10055,9163,9597,10055,10412
