,A,B,C,D,E,F,G,H,J,K,L,M,N
9.0,23430,23344,19016,19568,20595,17390,19006,20098,19435,18565,20691,22086,20785
22.0,23934,26905,20569,19221,22239,18163,20829,21104,20419,18902,21218,21600,21877
33.0,28427,28674,19721,19725,21127,19390,21409,22479,20861,19790,22378,24250,22383
