,1,2,3,4,5,6,7,8,C1,C4,C6
7.0,13859,13797,13797,13797,13879,13838,13253,13859,14261,13797,13327
14.0,14538,14472,14472,14472,14560,14516,13847,14538,14844,14472,13944
21.0,15205,15135,15135,15135,15228,15182,14401,15205,15503,15135,14530
