,A,B,B&C,C,D,E,F,G,H,I,J,K
3.0,8259,8148,6720,8207,8048,8250,8107,8148,8148,8720,8022,8386
5.0,8367,8254,6806,8314,8153,8359,8215,8254,8254,8195,8127,8496
7.0,8473,8358,6893,8420,8333,8553,8354,8575,8358,8299,8229,8606
