,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
8.0/F低層A,8.0,低層,A,5030159,12931,389,353,3,NSS
17.0/F中層A,17.0,中層,A,5447945,14005,389,385,4,NSS
26.0/F高層A,26.0,高層,A,5313351,13659,389,388,4,NSS
8.0/F低層B,8.0,低層,B,5736384,13248,433,376,4,NSS
17.0/F中層B,17.0,中層,B,5914780,13660,433,383,4,NSS
26.0/F高層B,26.0,高層,B,5812592,13424,433,363,4,NSS
8.0/F低層C,8.0,低層,C,9253444,12781,724,319,4,NSS
17.0/F中層C,17.0,中層,C,9577072,13228,724,364,4,NSS
26.0/F高層C,26.0,高層,C,8924024,12326,724,356,5,NSS
8.0/F低層D,8.0,低層,D,5263440,13496,390,368,3,NSS
17.0/F中層D,17.0,中層,D,5481450,14055,390,360,3,NSS
26.0/F高層D,26.0,高層,D,5457270,13993,390,331,3,NSS
8.0/F低層E,8.0,低層,E,5073616,12976,391,371,3,NSS
17.0/F中層E,17.0,中層,E,5282019,13509,391,410,4,NSS
26.0/F高層E,26.0,高層,E,5343797,13667,391,375,3,NSS
8.0/F低層F,8.0,低層,F,7502562,12891,582,345,5,NSS
17.0/F中層F,17.0,中層,F,7543302,12961,582,355,5,NSS
26.0/F高層F,26.0,高層,F,7610232,13076,582,342,5,NSS
8.0/F低層G,8.0,低層,G,5562917,12907,431,406,4,NSS
17.0/F中層G,17.0,中層,G,5711612,13252,431,376,3,NSS
26.0/F高層G,26.0,高層,G,5899528,13688,431,365,3,NSS
8.0/F低層H,8.0,低層,H,5151916,13244,389,383,3,NSS
17.0/F中層H,17.0,中層,H,5315296,13664,389,406,3,NSS
26.0/F高層H,26.0,高層,H,5444833,13997,389,383,3,NSS
