,A,A & F,AF,B,B & C,BC,C,D,E,F
5.0,8124686,15421526,15421526,8665704,17035620,17035620,9890205,8922433,8893590,8581664
12.0,8364152,15975206,15975206,8797284,14165095,14165095,9536579,9231646,9149355,8932968
19.0,8500670,16495050,16495050,8910288,14635565,14635565,9830977,9543256,9452386,9230760
