,A,B,C,D,E,F,G,H,J
13.0,9869442,6146847,5748477,5172816,6094464,4884800,4993102,5280354,9063483
22.0,10364416,6592734,6188376,5251488,6440676,5286092,5279980,5546241,9785227
32.0,11027864,6809517,6330706,5536608,6592896,5409064,5597820,5774463,10105558
