,A,B,C,D,E,F,G,H,I
3.0,9123,9272,9281,9272,9436,9278,9269,9263,9579
6.0,9325,9479,9488,9479,9646,9485,9479,9474,9797
10.0,9572,9730,9740,9730,9902,9737,9733,9729,10061
