,A,B,C,D,E,F,G,H,I,J,K,L
4.0,9105282,10320222,12419315,7298368,5861424,8545461,6359155,7721874,8217804,7048525,7955400,7443556
10.0,9978787,13690880,8601984,7466816,6014184,7986147,6512707,7909406,8408588,7194825,8320200,7911776
17.0,10117686,8491328,6534876,8990204,7349352,8066628,6901157,7912116,7963064,7402400,8540060,8020837
