,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
5.0/F低層A,5.0,低層,A,17212384,14296,1204,273,3,NST
12.0/F中層A,12.0,中層,A,17718064,14716,1204,338,3,NST
19.0/F高層A,19.0,高層,A,18245416,15154,1204,261,3,NST
5.0/F低層B,5.0,低層,B,17309908,14377,1204,144,2,NST
12.0/F中層B,12.0,中層,B,17848096,14824,1204,146,2,NST
19.0/F高層B,19.0,高層,B,18369428,15257,1204,138,2,NST
5.0/F低層C,5.0,低層,C,11587290,16206,715,121,1,NST
12.0/F中層C,12.0,中層,C,11933350,16690,715,131,1,NST
19.0/F高層C,19.0,高層,C,13023647,17069,763,124,1,NST
