,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7782691.09109822,18165.0,11 NORTH ST|11 北街,7782691.09109822,18165.0,413.0,,0.004110233535084884,0.08015698400428128
2020-11-15,7750833.355913889,16817.0,11 NORTH ST|11 北街,7750833.355913889,16817.0,413.0,,-0.014065133597330637,0.017731784071653323
2020-10-15,7861405.068464575,16524.0,11 NORTH ST|11 北街,7861405.068464575,16524.0,413.0,,,
2020-9-15,,,11 NORTH ST|11 北街,,,413.0,,,
2020-8-15,,,11 NORTH ST|11 北街,,,413.0,,,
2020-7-15,,,11 NORTH ST|11 北街,,,413.0,,,
2020-6-15,,,11 NORTH ST|11 北街,,,413.0,,,
2020-5-15,,,11 NORTH ST|11 北街,,,413.0,,,
2020-4-15,,,11 NORTH ST|11 北街,,,413.0,,,
2020-3-15,,,11 NORTH ST|11 北街,,,413.0,,,
2020-2-15,,,11 NORTH ST|11 北街,,,413.0,,,
2020-1-15,,,11 NORTH ST|11 北街,,,413.0,,,
2019-12-15,,,11 NORTH ST|11 北街,,,413.0,,,
2019-11-15,,,11 NORTH ST|11 北街,,,413.0,,,
2019-10-15,,,11 NORTH ST|11 北街,,,413.0,,,
2019-9-15,,,11 NORTH ST|11 北街,,,413.0,,,
2019-8-15,,,11 NORTH ST|11 北街,,,413.0,,,
2019-7-15,,,11 NORTH ST|11 北街,,,413.0,,,
2019-6-15,,,11 NORTH ST|11 北街,,,413.0,,,
2019-5-15,,,11 NORTH ST|11 北街,,,413.0,,,
2019-4-15,8129079.000000001,19683.0,11 NORTH ST|11 北街,8129079.000000001,19683.0,413.0,,0.052285485164394574,0.052285485164394574
2019-3-15,7725165.0,18705.0,11 NORTH ST|11 北街,7725165.0,18705.0,413.0,,0.006890240620121668,0.006890240620121668
2019-2-15,7672301.0,18577.0,11 NORTH ST|11 北街,7672301.0,18577.0,413.0,,0.05809648573218662,0.05809648573218662
2019-1-15,7251040.999999999,17557.0,11 NORTH ST|11 北街,7251040.999999999,17557.0,413.0,,0.144897293772416,0.144897293772416
2018-12-15,6333355.0,15335.0,11 NORTH ST|11 北街,6333355.0,15335.0,413.0,,-0.15430430706446796,-0.15430430706446807
2018-11-15,7488928.999999999,18133.0,11 NORTH ST|11 北街,7488928.999999999,18133.0,413.0,,0.013356432323683887,0.013356432323683887
2018-10-15,7390222.0,17894.0,11 NORTH ST|11 北街,7390222.0,17894.0,413.0,,-0.050716180371352726,-0.05071618037135284
2018-9-15,7785049.999999999,18850.0,11 NORTH ST|11 北街,7785049.999999999,18850.0,413.0,,0.008884607150503099,0.008884607150503099
2018-8-15,7716491.999999999,18684.0,11 NORTH ST|11 北街,7716491.999999999,18684.0,413.0,,0.00365277180919632,0.00365277180919632
2018-7-15,7688408.0,18616.0,11 NORTH ST|11 北街,7688408.0,18616.0,413.0,,-0.0180398776242221,-0.01803987762422199
2018-6-15,7829654.000000001,18958.0,11 NORTH ST|11 北街,7829654.000000001,18958.0,413.0,,-0.014093296583285508,-0.01409329658328562
2018-5-15,7941577.0,19229.0,11 NORTH ST|11 北街,7941577.0,19229.0,413.0,,0.022927971060751062,0.022927971060751062
2018-4-15,7763574.0,18798.0,11 NORTH ST|11 北街,7763574.0,18798.0,413.0,,0.009126046811251953,0.009126046811251953
2018-3-15,7693364.0,18628.0,11 NORTH ST|11 北街,7693364.0,18628.0,413.0,,-0.029640047924154866,-0.029640047924154866
2018-2-15,7928361.0,19197.0,11 NORTH ST|11 北街,7928361.0,19197.0,413.0,,0.07576351919305124,0.07576351919305124
2018-1-15,7369985.0,17845.0,11 NORTH ST|11 北街,7369985.0,17845.0,413.0,,-0.0176162950729426,-0.01761629507294249
2017-12-15,7502145.000000001,18165.0,11 NORTH ST|11 北街,7502145.000000001,18165.0,413.0,,0.0801569840042815,0.08015698400428128
