,A,B,C,D,E,F,G
10.0,8773695,7193200,7218000,8364357,8367898,5956443,8527232
22.0,9565332,7629200,7611200,9131346,8788640,6370529,8997936
32.0,9925167,8050400,7933200,9385632,9185120,6567559,9372416
