,A,B,C,CD,D,E,F,G,H
19.0,16824,18033,17353,18973,16158,15940,16851,15028,15617
38.0,17913,18758,17449,19849,17308,16624,16227,16015,16706
56.0,20186,19040,19168,20990,18898,16930,16992,16266,18731
