,A,B,C,D,E,F,G,H,J,K
5.0,11352,11284,11284,11284,11290,11556,10524,11284,11550,11290
12.0,11622,11536,11536,11536,11611,11873,10760,11536,11881,11611
18.0,12823,11021,11021,11021,11897,12154,10919,11021,12322,11897
