,A,A-H,B,C,D,E,F,G,H
12.0,9082550,,9245824,10846045,8878012,9203260,10841685,8863596,8783532
28.0,9522798,,9523332,11413935,9544563,9429126,10002385,9467640,9226215
45.0,9741461,,10008852,11945855,10281128,9770992,11622670,10013612,9859315
