,A,A-H,B,C,D,E,F,G,H
12.0,18650,,19424,19901,18343,19015,19893,18621,18036
28.0,19554,,20007,20943,19761,19522,18353,19890,18945
45.0,20003,,21027,21919,21242,20188,21326,21037,20245
