,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
16.0/F低層A,16.0,低層,A,31029071,34747,893,312,5,KSWK
36.0/F中層A,36.0,中層,A,32131242,36062,891,305,5,KSWK
66.0/F高層A,66.0,高層,A,62643855,45165,1387,328,3,KSWK
16.0/F低層B,16.0,低層,B,13282308,32877,404,332,4,KSWK
36.0/F中層B,36.0,中層,B,15456636,38259,404,312,4,KSWK
66.0/F高層B,66.0,高層,B,69963982,45758,1529,226,3,KSWK
16.0/F低層C,16.0,低層,C,14290190,33233,430,311,4,KSWK
36.0/F中層C,36.0,中層,C,15627564,36513,428,326,4,KSWK
66.0/F高層C,66.0,高層,C,49202096,44648,1102,263,3,KSWK
16.0/F低層D,16.0,低層,D,19598840,34505,568,340,4,KSWK
36.0/F中層D,36.0,中層,D,21289776,37482,568,343,4,KSWK
66.0/F高層D,66.0,高層,D,45291675,39975,1133,192,2,KSWK
16.0/F低層E,16.0,低層,E,18895968,34608,546,383,4,KSWK
36.0/F中層E,36.0,中層,E,20785674,38069,546,311,4,KSWK
66.0/F高層E,66.0,高層,E,18554172,33982,546,95,1,KSWK
16.0/F低層F,16.0,低層,F,14282076,33526,426,351,4,KSWK
36.0/F中層F,36.0,中層,F,15436278,35982,429,389,4,KSWK
66.0/F高層F,66.0,高層,F,16952793,39517,429,242,4,KSWK
16.0/F低層G,16.0,低層,G,14479600,34150,424,397,4,KSWK
36.0/F中層G,36.0,中層,G,15764982,37007,426,382,4,KSWK
66.0/F高層G,66.0,高層,G,16698348,39198,426,221,4,KSWK
16.0/F低層H,16.0,低層,H,34202000,34900,980,295,4,KSWK
36.0/F中層H,36.0,中層,H,35880350,36650,979,304,5,KSWK
66.0/F高層H,66.0,高層,H,38179042,38998,979,223,3,KSWK
