,A,B,BC,BE,C,CD,CG,CH,D,DF,E,EF,F,FG,G,H
12.0,21961,20881,23122,23064,20258,22022,22553,22378,20480,21964,21976,22482,22094,22494,22008,22036
26.0,23081,21797,24232,24171,21171,23078,23634,23434,21427,23017,21354,23559,21374,23573,20912,22943
38.0,23922,23438,25175,25111,22374,23975,24553,24326,22579,23912,22211,24475,22234,24489,21709,22802
