,1,10,11,12,13,14,15,16,17,18,19,2,20,21,3,4,5,6,7,8,9
7.0,3201055,2419899,3171938,3184916,3290346,2461736,2632603,3281283,3267927,3361896,3248578,3216928,2495596,2485600,3057570,3191098,3232292,2440231,2562360,3220184,3256479
20.0,3345355,2527033,3245726,3271548,3435354,2693599,2793304,3447279,3409119,3488778,3352042,3352089,2601188,2590800,3154401,3327613,3330487,2544237,2703447,3349786,3391470
34.0,3469934,2622828,3387626,3415776,3584178,2866030,2915687,3572730,3582270,3552696,3487120,3492541,2700476,2695200,3310380,3455027,3464607,2631039,2831172,3472293,3448233
