,A,B,C,CD,D,E,F,G,H
18.0,16040,15616,15790,16554,16706,15621,16034,15173,15194
34.0,16542,16409,16287,17422,17273,16243,16118,17132,15916
50.0,17534,17600,17153,18186,17674,17102,17392,17567,16342
