,A,B,C,D,E,F,G,G & H,GH,H
19.0,886,903,1065,1066,1066,1065,903,1833,1833,887
40.0,886,903,1065,1066,1066,1065,903,1833,1833,887
62.0,908,925,1095,1095,1095,1095,925,1833,1833,908
