,A,B,C,CD,D,E,F,G,H
18.0,15463,16265,16901,18027,13536,16656,16321,14022,16046
36.0,17451,16890,17849,17545,15334,16151,15829,15513,17043
52.0,18001,17951,17781,19984,16768,16562,16871,16777,17157
