,A,B,C,CD,D,E,F,G,H
19.0,9539208,10224711,10810919,20471867,7368048,7412100,7835715,7168356,7777266
38.0,10156671,10635786,10870727,21417071,7892448,8345248,8162181,7639155,8319588
56.0,11445462,10795680,11941664,22648210,8617488,8498860,8546976,7758882,9328038
